,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
O,E,E, , , , , ,E,N,N,N, , , ,N,N,N,N,N, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,N,N, , 
P,L,L,L,N,N, , ,L,L,L,L,N, , ,D,N,N,N,N, , ,D,L,L,L,L, , ,L,L,L, , ,D,L,L,L,L, , , , ,L,L, , , , , ,D,L,L,L,L, , 
Q,L,L, , ,L,L, , ,E,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,E,E,E,L,L, , ,L,L,L,L,L, , , , , ,L,N, , ,L,L,L,L,N, , 
R,E,D,D, , , , ,N,N,N,N,N, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,N,N,N,N, , ,E,D,D,D,D, , , , , , ,E,E,E
S,E,L,L,L,L, , ,D,D,D,L,L, , ,E,E,E,E,D, , , , , ,L,L,L,L,L, , , ,E,E,E,E,L, , , , , ,D,L,L,L,L, , ,E,L,L,L,L, , 
T,E,L,L,L,L, , , , , , , , , ,E,E,E,N,N, , ,L,L,L,N,N, , ,L,L,L,N,N, , ,E,L,L,L,L, , ,E,E,E,N,N, , ,L,L,L,L,L, , 
U,D,L,L, , , , , ,L,L,L,L,L, , ,D,D,L,L, , ,E,N,N,N,N, , ,D,N,N,N,N, , ,D,L,L,L,L, , , ,E,D,L,L, , ,D,L,L,L,L, , 
V,E,L,N,N,N, , ,E,E,E,L,L, , ,E,D,L,L,L, , ,E,D,L,L,L, , , , , , , , , ,L,N,N,N,N, , ,E,E,E,D,D, , ,L,L,L,N,N, , 
W,D,D,D,L,N, , , , , , , , , ,E,E,E,E,L, , ,L,L,L,N,N, , ,L,L,L,N,N, , ,L,L,L,L,L, , ,D,D,D,D,L, , ,E,L,L,L,L, , 
X,L,L,L,L, , , ,L,L, , , , , ,L,L,L,L,L, , ,D,D,L,L,L, , ,E,D,D,D,D, , ,E,E,D,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , 
Y,D,L,L,L, , , ,E,L,N,N,N, , ,D,D,L,L,L, , ,N,N,N, , , , , ,D,D,L,L, , ,D,L,L,L,L, , ,E,E,D,D,L, , ,D,D,N,N,N, , 
Z,E,N,N,N, , , ,E,E,E,E,E, , ,E,E,E,E,E, , , , ,E,E,N, , ,E,E,E,E,E, , ,E,E,E,E,E, , , , ,E,E,N,N,N, , ,N,N,N, , 
AA,E,D,L,N,N, , ,L,N, , , , , ,L,N,N,N,N, , ,E,D,L,L, , , ,L,L,L,N,N, , , ,D,L,L,L, , ,L,L,L,L,L, , ,E,E,L,L,L, , 
AB, , , , , , , ,N,N,N,N,N, , ,D,L,L,L,L, , ,D,D,L,N,N, , ,D,D,D,L,L, , ,D,D,D,L,L, , ,D,L,N,N,N, , ,E,E,L,L, , ,E
AC,L,L,L,L, , , ,E,L,L,L,L, , ,N,N,N,N,N, , ,E,D,L,L,L, , ,D,L,L,L, , , , , ,L,L,L, , ,D,D,D,D,L, , ,L,L,L,L,L, , 
AD,D,L,L, , , , ,E,L,L,L,L, , ,D,D,N,N,N, , ,D,D,D,D, , , ,D,D,N,N,N, , ,L,L,L,L,L, , , ,D,L,L,L, , ,D,D,L,L,L, , 
AE,L,L,L, , , , , ,E,D,D,L, , ,D,D,L,N, , , ,L,L,N,N, , , ,D,L,L,L, , , , ,E,D,D,L, , ,E,L,N,N, , ,D,L,L,L, , ,E,L
AF,D,D,L,N, , , ,D,D,L,N, , ,L,N,N,N, , ,D,D,L,L, , ,E,L, , , ,E,E,D, , ,L,L,L,L, , , ,L,L,L,L, , ,N,N,N,N, , , , 
