,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
AB,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D,D,D,D, , ,D,D, , ,D,D,D,D,D, , , , , 
AC,e1,D,e1,D,D, , ,D,e1,D,D,D, , ,n1,n1,n1,n1, , , ,D,D,D,D,n2, , , ,D,D, , , , ,D,e1,e1,n2, , , 
AD,D,D,D, , , , ,D,D,D,D,D, , ,D,D,D,D,D, , , ,D,D,D,D, , , ,D,D,D,D,D, , ,D,D,D,D,D, 
AE,L,L,L,L, , , ,L,L,L,L, , , ,D,D,D,D, , , ,D,D,D,D,L,L, , , ,L,L, , , ,D,D,D, , , , 
AF,D,D,D,D,D,D, , , ,L,n2, , , ,L,L,L,L,L, , , , , , , , , ,L,L,L,L, , , ,D,D,L,L,L,L, 
AG, , , ,L,L, , , ,e1,e2,D, , , ,D,L,L,L,L,L, , , , , , ,D,L,L,L,L,L, , , , ,D,D,D,D,L,L
AH,D,L,L,L, , , ,D,D,D,L,L,L, , , , ,n1,n1, , , ,L,L,L, , , ,e1,D,D,L, , , ,D,D,e1,e1, , , 
AI, , , , , , , ,e1,e2,D,D,D,D, , , ,e1,D,D,D,D,D, , , , , ,e2,e1,D,D,D,D, , , , , , , , , 
AJ, , , ,D,e1,D,D,D,D, , , ,e1,e2,D,e1,e1,D, , , ,D,D,D,D, , , ,n2,n1,n1,n1, , , , , ,e2,D, , , 
AK,D,D,n1, , , , ,D,D,D,n1, , , ,D,D,D,D, , , ,D,D,D,D, , , ,D,D, , , ,D,D,D,D,D,D, , , 
AL,D,e1,D, , , , ,e1,e1,D,D,D,e1, , , ,e1,e2,e1, , , ,D,D,D,e1, , , ,D,D,n2, , , ,D,D,e1,D, , , 
AM,D,D,n1, , , , ,D,D,D,D, , , ,D,n2,n1,n1, , , ,D,D,D,D, , , , , , , , , , ,D,D,D,D, , , 
AN,L,L,L,L, , , ,D,D,D,L, , , ,L,L,L,L, , , ,D,D,L,L, , , ,D,L,L,n2, , , , ,L,L,n1, , , 
AO,D,D, , , , , ,e1,L, , , , , ,D,D, , , , , ,L,L,L, , , , , , , ,D,L, , ,e1,e1,D,D,D, , 
AP,D,D, , , , , ,D,D, , , , , , , , ,e2,L, , ,D,D, , , , , ,D,L,L, , , , ,L,L,n1,n1, , , 
AQ, , , , , ,D,e1, , , , , , , ,D,e1, , , , , , , , ,D,e1, , ,D,D,D, , ,D,D,D,D,D, , ,D,D
AR, , , ,D, , , ,D, , , , , , , ,D, , ,D, , ,D, , , , , , ,D,D,e1,D, , , ,L,L,n1,n1, , , 
AS,D, , , , , , ,D, , , , , , ,n1, , , ,D, , ,e2, , ,D, , , ,D,D,D, , , , ,D,D,D,D,D, , 
