,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
K,E,E,L,L, , , , , , ,E,E,E,L,L, , ,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,E,E,L,L, , ,E,L,L,L,L, , ,E,L,L,L,L, , ,E,L,L,L,L, , ,E,E,L, , , , ,E,E,L,L,L, , 
L, , ,L,L,L,L,L, , ,E,d1,L,L,L, , ,E,E, , ,L,L,L,L,L, , , ,E,d1,d1,d1,d1, , ,d1,L,L,L,L, , ,E,d1,d1,d1,d1, , ,L,L,L,L,L, , ,E,E,E,E,L, , , , , ,L,L,L,L,L, , , , , , ,d1,L,L,L,L, , 
M,E,L,L,L,L, , , , , , , , , ,E,L,L,L,L, , ,L,L,L,L,L, , ,E,E,E,L,L, , ,E,E,L,L,L, , , ,E,E,E,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,E,E,E,E,L, , ,E,L,L,L,L, , 
N,d1,d1,d1,d2,d1, , ,d1,d1,d1,d1,d1, , ,d2,d2,d1,d1,d1, , ,d1,d2,d1, , , , , , ,E,E,E,d1,d1, , ,E,d1,d1, , ,E,E,d1,d1,d1, , ,E,d1,d1,d1,d1, , ,d2,d1,d1,d1,d1, , ,E,E,d2, , , , ,E,E,d2,d1,d1, , ,d1,d1,d1,d2,d1, , 
O, , , , , , , ,d1,d2,L,L,L, , , ,d2,L,L,L,L, , , ,E,E,L,L,L, , ,E,L,L, , ,d1,L,L,L,L, , ,d1,L,L,L,L, , ,E,d1,d1,L,L, , ,d1,L,L,L,L, , ,E,d1,d1,d1,d1, , ,L,L,L,L,L, , ,E,L,L,L,L, , 
P,E,L,L,L,L, , ,d1,d1,L,L,L, , ,E,d1,d1,d1,d1, , ,d1,d1,L, , , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,d1,d1,d1, , ,L,L,L,L,L, , ,E,L,L,L,L, , , , ,L,L,L, , ,E,E,L,L,L, , ,d1,d1,d1,L,L, , 
Q,E,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , , , , , , , ,d2,d2,d2,L,L, , , , ,L,L,L,N,N, , ,d2,L,L,L,L, , ,E,L,L,L,L, , , , ,E,E, , ,E,d2,L,L,N, , ,E,E,E,E,L, , ,E,L,L,L,L, , 
R, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,E,N,N,N,N, , , ,E,E, , , , , , ,E,N,N, , ,E,E,E,E,N, , ,E,E,E,E,E, , ,E,E,E,E,E, , 
S, , , , , , , ,d1,L,L,L, , ,d1,L,L,L,L, , , ,d1,L,L,L,L, , ,E,E,d1,L,L, , ,E,N,N,N,N, , ,d1,L,L,L,L, , ,L,L,L,L,L, , , , , ,d1,d1, , ,E,E,E,N,N, , ,d1,d1,N,N,N, , ,E,L,L,L,L, , 
T,E,E,d1, , , , ,d1,d1,d1,d1,d1, , ,d1,d1,d1, , , , ,E,d1,d1,d1,d1, , , , , ,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,E,E,d1,d1, , ,d1,d1,d1,d1,d1, , ,E,E,E,d1,d1, , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , 
U,E,E,E,d1, , , ,E,E,d1,d1,d1, , ,d2,d1,d2,d1,d2, , , ,E,d1,d1,d1, , ,d1,d1,d2,d1,d1, , ,d1,d1,d1,d2,d1, , , , ,E,E,E, , ,d1,d1,d2,d1,d1, , ,E,E,E,E,d2, , ,d1,d1,d1,d1,d1, , ,E,E,E, , , , ,E,d1,d1,d1,d2, , 
V,d1,d1,d2,d1,d2, , ,d1,d1,d1,d1,d1, , ,d1,d1, , , , , ,d1,d1,d1,d1, , , , , , ,d1,d1,d1,d1,d2, , ,d2,d1, , ,d1,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d1,d2,d1,d1,d1, , ,d1,d1,d1,d1,d1, , ,d2,d2,d1,d1,d1, , ,d1,d1,d1,d1,d1, , 
W,E,E,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , , , , ,E,E, , ,L,L, , , , , ,L,L,L,L,L, , ,E,L,L,L,L, , ,E,E,L,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,E,E,L,L,L, , ,E,L,L, , , , 
X,d2,L,L,L,L, , ,E,d1,d1,L,L, , ,E,E,E,E,d2, , , , , , ,L,L, , ,d1,d1,d1,d1, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,d1, , , , , ,E,E,E,E,E, , ,d2,L,L,L,L, , ,E,E,d2,L,L, , ,d1,L,L,L,L, , 
Y,d1,d1,d1,d1,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,d1,d1,L,L, , ,L,L,L,L,L, , , ,d1,L,N,N, , ,E,E,d1,L,L, , ,d1,d1, , , , , , ,d1,L,L,L, , , , ,d1,d1,L, , ,L,L,L,L,L, , ,d1,L,L,L,L, , 
Z,d1,d1,L,L,L, , ,L,L,L,N,N, , ,L,L, , , , , ,d1,L,L,L,L, , ,d1,L,L,N,N, , ,d1,d1,L,L,N, , ,d1,d1,L,L,L, , ,d1,d1,L, , , , ,L,L, , , , , ,d1,L,L,L,L, , ,L,L,L,N,N, , ,N,N, , , , , 
AA,L,L,L,L,N, , ,E,N,N,N,N, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,d1,L,L,L,L, , ,L,L,L,L,N, , ,E,L,L,L,L, , ,d1,L,L,L,L, , ,d2,d1,L,L,L, , ,d1,d1,d1,d1,L, , , , , ,E,d1, , , , , , , , , 
AB,d1,d1,d1,d1,d1, , ,L,L,L,L,L, , ,d2,L,L,L,L, , ,L,L,L,L, , , , , , ,d1,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,L,L, , , , ,L,L,L,L,L, , ,d1,d2,d1,d1,d1, , ,E,d2,d2,L,L, , 
AC,d1,d1,d1,L,L, , ,E,L,L,L,L, , ,d1,d1,d1,d1,L, , , , ,E,L,L, , ,L,L,L,L,L, , ,E,L,L,L,L, , ,L,L,L,L,L, , , , , , , , , ,L,L,L,L,L, , ,L,L,L,L,L, , ,E,E,E,L,L, , , , , ,d1,L,L,L
AD,E,E,d2,d2,d2, , ,d2,d2,d2,d2,d2, , ,E,E,d2,d2,d2, , ,E,E,d2,d2,d2, , ,E,E,E,E,E, , ,E,E,E,E, , , , , , , , , , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,E,E, , ,E,E,E,d2,d2, , 
AE,L,L,L,L, , ,d1,L,L,L, , , , ,d2,L,L,L, , , ,L,L,L,L, , , ,d1,L,L,L, , , ,E,L,L,L, , , ,L,L,N,N, , , , , , ,d1,N,N,N, , ,E,L,L,L, , ,E,L,L,L, , ,L,L,L,L, , , ,E,E,L,N, , , 
AF,E,E,E, , , , , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E,E, , ,E,E,E, , ,E,E,E, , , ,E,E,E,E, , , , ,E,E,E,E, , , ,E,E,E,E, , , ,E,E,E,E, , , 
AG,E,L,L,L, , , ,E,d2,N,N, , ,N,N,N,N, , , , , , , , , , , ,L,L,L,L, , , ,E,E,E,E, , ,L,L,L,L, , , , ,L,L,L,L, , , ,E,L,L,L, , ,L,L,L,L, , ,E,E,L,L, , ,E,L,L,L, , , , , , 
AH,d1,d1,N,N, , , , , , , , , , ,E,E,d1,d1, , , ,d2,d1,d1,d1, , , , ,d1,d1,d1,d1, , ,d2,d1,d1,d1, , , ,E,E,E,E, , , ,d1,d1,d1,N, , , , , ,d1,d2,d1,d1, , ,E,d1,d1,d1, , ,E,d1,d2,d1, , , ,E,d1,d1,d1, , , 
AI,E,E, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , , , ,d1,d2, , , ,d1,d1, , , , , ,E,E, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d2,d1,d1,d1, , , , , ,d1,d2,d1,d1
AJ, , , , , , , ,E,d1, , , , , ,E,d1, , , , , ,L,L, , , , , ,d1,L, , , , , ,d1,d1, , , , , ,L,L, , , , , ,L,L, , , , , , , , ,L,L, , ,L,L,L, , , ,L,L,L,L,L, , , ,E,d1,L,L,L, , 
AK,E,E, , , , , ,E,d1, , , , , ,d1,d1, , , ,d1,d1, , , , , , , ,E,E, , , , , ,E,d1, , , , , ,E,d1, , , , , ,d1,N, , , , , , , , , , , , ,E,E,d1, , , , ,E,d1,d1,d1,d1, , ,d1,d1,d1,d1,d1, , 
AL,E,d2, , , , , ,d1,L, , , , , ,E,E, , , , , ,d1,d1, , , , , ,L,L, , , , , , , , ,d2,L, , ,d1,L, , , , , , , , , , , , , ,d1,L, , , , , ,d1,d1,d2, , , , ,E,E,d2,d1,d1, , ,E,E,d1,d1,d1, 
AM,E,E, , , , , ,d1,d1, , , , , ,E,E, , , , , ,d2,d1, , , , , , , , ,E,d1, , ,E,E, , , , , ,E,d1, , , , , ,E,d1, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,d1,d1,d1,d1, , , ,E,d1,d1,d1,d1, , 
AN,d1,d1, , , , , ,E,d1, , , , , ,E,d1, , , , , ,E,E, , , , , ,E,E, , , , , ,d1,d1, , , , , ,d1,d1, , , , , ,E,E, , , , , ,d1,d1, , , , , , , , , ,E,d1,d1, , , , ,E,d1,d1,d1,d1, , ,d1,d1,d2
