,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
BQ, ,d2,p4,p2,p2, , ,d3,d3,p1,p1,p1, , ,a4,p1,p2,p1,p1, , , , , ,d1,p2, , 
BR, ,d2,d1, , , , , , ,n3,n2,n2, , , ,a2,d5,p5,n3, , ,a2,d3,d3,d3,d2, , 
BS, ,a2,d3,p1,n1, , , ,d3,d3,d5,p1, , , , , ,p1,p1, , ,a2,d3,d5,p4,p1, , 
BT, ,p3,p3,p1, , , ,d2,d4,d3,d3,p1, , , , ,d2,d3,d2, , ,d2,p3,p3,p1,p1, , 
BU, ,p4,p5, , , , , ,p1,p1,p4,p1, , , ,p4,p1,n2,n1, , ,p1,p4,p1,p4,p1, , 
BV,p3,p3, , , , , ,d3,d3,d1,d4,p2, , , , ,p3,p2,p2,p3,p2, , ,p3,p3,p3,n3, 
BW, ,p3,p3, , , , ,p2,p2,p2,p2,p3, , , ,d3,d1,p5,p3, , ,d3,p3,p2,p3,p3, , 
BX, ,p1,n3, , , , ,d2,p3,p2,p1,p3, , ,d2,d5,p1,p1,p1, , , , , ,p1,p3,p1,p3
BY, ,a2,a3,d4,p4, , , ,p2,p2,p4,n3, , , , , ,d2,d1, , ,d2,d2,p2,p2,p2, , 
BZ,a1,a5,p2,p3,p2, , , ,a2,p1,p3,p2,p2, , ,a2,a1,a1,p2, , , , , ,p3,p3, , 
CA, ,d3,n2, , , , ,d3,p1,p2,p2,p1, , ,p3,p3,p1,p3,p1, , ,d2,d3,d1,d3, , , 
CB, ,p1,p2,p2,p4, , ,p2,p1,p2, , , ,d1,p5,p2, , , , , ,a3,a3,d1,d1,a5, , 
CC, , , ,d1,p1, , , , ,a4,p2,p2, , ,a3,d4,d1,n3,n1, , ,a2,a3,a3,d3,d4, , 
CD, ,p3,p5, , , , , ,p3,n3,n1,n1, , ,a3,a3,a1,p2,n3, , , , , ,d2,d3,d1,p3
CE, ,p5,p3,p1,p1, , ,a1,p1,p3,p4,p1, , ,a2,a2,p1,p1,p4, , ,a2,p3, , , , , 
CF, ,p2,p1,p2,p1, , ,d2,d3,d2,p1,p1, , ,p2,p1,p1,p1,p1, , ,d5,p5, , , , , 
CG, , , ,d2,d1,p1,n3, , , ,a3,a1, , ,d1,p5,n2,n2, , , ,p1,p1,p1,p1,p1, , 
CH,p2,p1,p2,p3,p2, , , , , ,d5,p3, , ,a3,p2,p2,p2, , ,d2,d1,d2,d2,p2, , , 
CI,a3,p2,p3,p2, , , ,d2,d1,p1,p2,p1, , , , , ,p1,p3, , ,p2,p2,p3,p2,p3, , 
CJ, ,p1,p1, , , , ,d2,d3,d3,p2,p2, , , ,p3,p3,p2,p1, , ,d3,d3,p3,p2,p4, , 
CK, , ,d2,p4, , , ,p2,p4,p1,p4, , , ,a2,d4,p4,p1,n3, , ,a4,d4,d5, , , , 
CL, ,d2,d2,n3,n2, , , , , ,p4,p2, , , ,d2,d1,d1,p3, , ,a4,a3,a1,d1,n1, , 
CM, , , , , , , ,d3,d3, , , ,a4,a4,d4,d3,p2,p5, , , , ,d2,d2,d4,d2,d3,d1
CN,a1,d1,p3,p2, , , ,a4,d1,p3,p1,p4,p1, , , ,a1,p3,p1,p4, , , ,d3,p2,p2, , 
CO,a1,p3,p1, , , , ,a1,p4,p3,p4,n2,n2, , , ,a4,a5,p1,p3,p1,p5, , , , , , 
CP, ,p1,p1,p1,p2,p1, , , ,d2,d1, , , ,d4,d3,a5,p1, , , ,p1,p2,p1,p2,p4,p1, 
CQ,d1,p1,p2, , , , ,a3,p2,p1,p2, , , ,p3,p3,p1,p3, , , ,p1,p3,p2,p1,p2,p3, 
CR, ,a3,p4, , , , ,d4,d4,p4,p3,p4, , , ,p3,p3,p1, , , ,a3,p3,p4,p3,p1,p4, 
CS,p2,p2,p2,p1, , , ,p5,p1,p3,p3,p1,p3, , , , , , , , , ,p3,n1,n2,n1,n2,n1
CT, ,p5,p3, , , , ,a3,d2,d4,d1, , , ,a1,d2,d1,n3,n2,n2, , , , ,d2,d1,d2,d1
CU,d1,d2,d5,n1, , , ,p2,p2,p2,p2,p2,p2, , , ,p2,p5,p2,p2,p2,p2, , , , , , 
CV,n3,n1,n1,n2,n2, , , ,a3,a1,a1,a1,a3,a2, , , , , ,d1,p1,p3,p3,p3,p3, , , 
CW,p5,p1, , , , , ,d3,d4, , , , , ,a2,d5, , , , , , ,d3,d2,d1, , , 
CX,p1,p3, , , , , ,d3,d2, , , , , ,p3,p1, , , , , ,a3,p3, , , ,d3,p3
CY,a2,a1, , , , , ,p1,p2, , , , , , , , ,d2,p2, , , , , ,a1,p4,p1,p2
CZ,a3,p2, , , , , ,p1,p3, , , , , ,p3,p2, , , , , ,a3,p3,p2,p1, , , 
DA,a5,p3, , , , , ,d3,d3, , , , ,p3,p1, , , , , , , ,p1,n2,n1, , , 
DB,p3,p3, , , , , ,a3,a1, , , , , , , , ,a1,d3, , ,p3,p3,p2,p3, , , 
DC,p1,p3, , , , , ,d1,p3, , , , , , , , ,d3,p1, , ,a5,p1,p3,p1, , , 
DD,a3,p2, , , , , ,a3,d3, , , , , ,d3,p4, , , , , ,d3,p2,p2,p2, , , 
DE, , , , , , , , ,p3,p3, , , , ,p1,p1,p1,p3, , , ,p3,p1, , , ,p1,p1
DF,p3,p5, , , , , ,a1,p2, , , , , ,d1,d3, , , , , , ,p5,p2,p3, , , 
DG,d1,p1, , , , , , , , ,p5,p2, , ,a3,p2, , , , , ,d1,p2,p2,p1, , , 
DH, , , , , , , ,a3,d2, , , , , , , ,p4,p2,p2,p4,p3, , ,p2,p3,p2, , 
DI, , , ,p1,p1, , ,a2,n1, , , , , ,d3,d2, , , , , ,p1,p3,p3,p1, , , 
DJ, , , , , , , , , , , ,d2,p3,p4,p5, , , , , , ,d2,p3,p3,p4,p3, , 
DK, , , ,d1,p4, , ,d1,n1, , , , , ,p1,p3,p3,p1, , , ,a1,d4, , , , , 
DL,p3, , , , , , ,p3, , , , , , ,p2, , , , , , ,a2,d1,d1,d1,p2, , 
DM, , , , ,p2, , ,p1, , , , , , ,p3, , , , , , ,p2,p2,p1,p2,p3, , 
DN,d3, , , , , , ,d3, , , , , , ,a1, , , , , , , ,d2,d2,d2,p4, , 
DO,a1, , , , , , ,a2, , , , , , ,a1,p3,p3, , , , ,d2,d2, , ,a3, , 
DP,p2, , , , , , , , ,p2, , , , , , ,a1, , , , , ,p2,p4,p2,p2, , 
