NurseID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
P,a3,a3,a3,a3,a3, , , , ,a3,a3,d1, , ,d1,d1,n1,n1, , ,d1,d1,d1,p2, , ,n1,n1
Q,p3,p3,p3,p1, , , ,p1,p3, , ,p3,p1,p1, , ,d2,p1,p3, , , , ,d2,d2,d2,p1,p1
R, ,a2,a2,a2,a2, , ,a1,a1,a1,a2,a2, , ,p2,p1, , , ,a3,a3,a1, , ,d3,d3,p1,p2
S,d2,p2,p3,p2,p2, , ,d2,p2, , ,p1,n1,n1,n1, , ,a3,a3,d2,d2,d2, , ,a1,n1, , 
T,p2, , ,p3,p3,p3,p3,p3, , ,a1,a2,a2,a2,p3, , , , , , ,p3,p3,p3,n1,n1, , 
U,n1, , ,a1,a1, , ,d3,d3, , ,a3,a3,a3,d3, , ,a3,a1,n1,n1,n1, , ,a1,a1, , 
V,p2, , ,p2,p2,p2,p3,p3, , ,p3,p3, , ,a2,a2,a3,d3, , , ,d1,p2, , ,p2,p3,p3
W,p1,p1,p1,p1,p3, , ,a3,a3, , ,a1,d2,d2,d2, , ,p3,p3,p3,p3, , , ,p3,p1, , 
X,a3,a1,a1,a3,d1, , ,a1,p3, , ,a1,a1,a1,a1, , ,a1,a1,d1,d2,d2, , ,d1,p3, , 
Y, , ,d3,d3,d3,d3,p2, , ,d3,d3,n1,n1, , , ,a1,a3,a3, , ,d3,p3,p3,n1, , , 
Z,d3,n1,n1,n1,n1, , , , , ,a1,d2,d1,d1,p1, , ,d1,d1, , ,p3,p1, , ,d2,d3,d1
AA,n1,n1,n1, , ,d3,d3,d3, , ,d3,d3,d3,d3,d3, , ,d1,n1, , ,a3,d3,p3,p3,p1, , 
AB,a1,d2,d2,d2,n1, , ,p2,n1, , ,d2,p1,p2,p2, , ,a1,n1, , , ,d2,p1,p1,p2,p2, 
AC,d2,d2,d3, , , , ,d2,d2,d2,d2,d2, , ,p2,p2, , ,a3,a3,a3,a3, , ,p1,p1,p1,p1
AD,d1,d2,d1,d1,p1, , ,a1,d1, , ,d2,d3,d3,d3, , ,d1,d1, , , , ,a1,d3,d3,d2,d3
AE, , ,d1,d2,d2,d2,p1, , ,p3,n1,n1, , ,a2,d3,d3,d3,d3, , ,d3,d2,n1, , ,d1,n1
AF, , ,a3,d1,d1, , ,d1,p1,n1,n1,n1, , ,p1,p2,p2,p2, , ,d1,d1,d1, , ,a3,d1,d1
AG,p3,p2,p1,p3,p1, , ,d3,p3, , ,a1,a3,a3,d3, , ,a1,a1,a1,d2, , ,d3,p3,p3, , 
AH,a2,a3,a3,a2,a3, , ,a2,a2,d1,d1,p1, , ,a3,a3, , , ,p3,p3, , , ,a2,a3,a2,a3
AI,p2,p2,p2,p3,p3, , ,a1,p2,p2,p2,p2, , , , , ,p2,p2,p2,p2,p2, , , , ,a1,a2
AJ,d1,d1,d1,d3,d3, , ,d3,d3,d1,d1, , ,a2,p2, , ,d2,n1,n1,n1, , , ,p3,p2, , 
AK,a2,a1,a2,a1,a3, , , , , , ,a1,p3,p3,p3,p3, , ,a2,a1,p2,p3, , ,a2,a2, , 
AL, , ,d1,d1,d3, , ,d2,d1,d2,d1,d1, , ,a2,a2,a3,a1, , ,d3,d3,p1, , ,a1,a3,a3
AM,a2,a2,a2,a2,a2, , ,n1,n1, , ,p3,p3,n1,n1, , , ,p1,p1,p1,p1,p1, , , , , 
AN,d1,p3,p3, , , , ,a2,a3,a3,a3,a3, , , , ,p1,p1,p1,p3,p2, , , ,d1,p3,p2,p1
AO, ,p3,p2,n1,n1,n1,n1, , , , , , , ,a3,d2,p1,p1, , , , ,p1,p1,p1,p1,p1,p3
AP,p1, , , ,a1,a3,d3,d2,d1,d2, , , , ,d1,p1,p1,p1,n1, , , , , ,d3,d1,d1,d2
AQ,n1, , , ,a2,a2,d3,p1,p1,n1, , , , ,a3,p3,p2,n1, , , , ,a2,a2,d2,d3,d2,d3
AR,d3,n1,n1,n1, , , , ,d3,d3,d2,d2,d3,d3, , , , , ,d3,p1,p1,p1,p1,n1, , , 
AS,p2,p3, , , ,a3,a2,p1,p1,p3,p3, , , ,d2,d2,d2,p1, , , , ,a2,a3,d2,d2,p2,p2
AT,a1,a1,a2,a3, , , ,n1,n1,n1, , , , , , ,a2,p2,p2,p2,p2, , , ,a1,a1,d3,d2
AU,d3, , , ,d1,d1,d1,d1,d1,d1, , , , ,p3,n1,n1,n1, , , , ,a2,d1,d3,d3,d1,d3
AV,p3, , , ,d1,p3,p2,p3,p2,p1, , , ,p1,p3,n1,n1,n1, , , ,a2,a2,a2,a2,a2, , 
AW,a3,d3,d3,d3, , , ,a3,a2,a2,a2,p2, , , , , ,p2,p2,p1,p1, , , ,p1,p2,p1,p1
AX,d2,d1, , , ,d3,d3,d3, , , , ,d2,d2,d2,d2,d1,d1, , , ,d2,d2,d1,d1,d2, , 
AY, , , , , ,d1,d2, , , , , , ,d2,d1, , ,d3,d3, , ,d1,d1, , , ,a3,d1
AZ,a3, , ,a3,a3,p2,p2,p2, , , , , ,a1,a1, , , , , , , , , , , ,a1,p3
BA, , , , , , , , , , , ,a3,p1, , , ,p3,p3,p3,p2,p3, , , , ,p3,p3, 
BB,n1, , , ,d2,d2,d2,d2,d2, , , ,p2,n1, , , , , , , , , , , , ,d3,d3
BC, , , , , ,p1,p1,p2, , , , ,a3,a3,a3,a3, , , , ,a1,a1,a1, , , , , 
BD, ,p1,p1,p1,p1, , , , , , , ,a2,d1, , , , , ,p3,p1, , , , , ,d2,d3
BE, , , , , ,a2,a3,n1, , , , , , , , ,d2,d2,d2,d2,p3, , , , , ,d1,d1
BF, , , , , ,a1,a1,a1,a1,a1, , , ,d1,d1,p1, , , ,d3,p1, , , , , , , 
BG, , , , , ,a2,d1,d1, , , ,d1,n1, , , ,a2,a2,a2,a2,d1, , , , , , , 
BH, , , ,p2,p2,p2,p1,p1, , , , ,d1,d3,p3, , , , ,a2,d3, , , , , , , 
Problem status: Unfinished

The minimised penalty = 5340
Time elapsed: 5001.16s.
